QUERY	SUBJECT	CPUS(c)	MEM(Gb)	CPUPCT	CPUTIME	MEM(Mb)	NCPUS	VMEM(Mb)	WALLTIME(s)	QTIME(s)	STIME(s)	DELTA(s)	JOBID
P	P	56	32	9558	11779	299	56	9597	260	1511884330	1511884331	1	532479.datarmor0
P	P	32	32	7362	11685	256	32	5657	485	1511884330	1511884594	264	532480.datarmor0
P	P	16	32	12016	11011	46	16	3030	858	1511884330	1511884594	264	532481.datarmor0
P	P	8	32	7583	10884	33	8	1717	1589	1511884330	1511884594	264	532482.datarmor0
M	N	56	32	480	492	9823	56	13910	47	1511884330	1512397339	513009	532483.datarmor0
M	N	32	32	518	441	9750	32	11283	53	1511884330	1511885079	749	532484.datarmor0
M	N	16	32	271	404	9687	16	8580	71	1511884330	1511885135	805	532485.datarmor0
M	N	8	32	519	391	9635	8	10360	126	1511884330	1511885207	877	532486.datarmor0
N	N	56	32	20086	66847	9623	56	17403	1296	1511884330	1512397340	513010	532487.datarmor0
N	N	32	32	107323	63309	218	32	14627	2397	1511884330	1511885333	1003	532488.datarmor0
N	N	16	32	6814	62453	151	16	12024	3990	1511884330	1511885455	1125	532489.datarmor0
N	N	8	32	856	65734	9464	8	10712	8712	1511884330	1511887440	3110	532490.datarmor0
N	P	56	32	11251	25776	305	56	9606	581	1511884330	1512397389	513059	532491.datarmor0
N	P	32	32	40185	24112	314	32	5662	992	1511884330	1511889794	5464	532492.datarmor0
N	P	16	32	37211	25939	277	16	3032	1948	1511884330	1511889356	5026	532493.datarmor0
N	P	8	32	18184	25611	228	8	1718	3407	1511884330	1511890786	6456	532494.datarmor0
P	PL	56	32	18677	1829621	29532	56	24551	33163	1511884330	1512397974	513644	532495.datarmor0
P	PL	32	32	24566	1821036	29496	32	19520	58672	1511884330	1511891320	6990	532496.datarmor0
P	PL	16	32	5958	1811150	29441	16	16502	120088	1511884330	1511894430	10100	532497.datarmor0
P	PL	8	32	12270	1830355	29413	8	15081	232806	1511884330	1511896149	11819	532498.datarmor0
N	PL	56	32	23898	4085752	29517	56	24534	73749	1511884330	1512398636	514306	532499.datarmor0
N	PL	32	32	62948	4024878	29334	32	21407	134198	1511884330	1511949993	65663	532500.datarmor0
N	PL	16	32	7706	3997984	29432	16	16505	263627	1511884331	1512014519	130188	532501.datarmor0
N	PL	8	32	10129	4039903	29412	8	15069	535073	1511884331	1512084192	199861	532502.datarmor0
