QUERY	SUBJECT	CPUS(c)	MEM(Gb)	CPUPCT	CPUTIME	MEM(Mb)	NCPUS	VMEM(Mb)	WALLTIME(s)	QTIME(s)	STIME(s)	DELTA(s)	JOBID
P	P	280	115	9436	16764	1012	280	188552	470	1516807890	1516808369	479	699931.datarmor0
P	P	112	115	9794	13704	364	112	45466	269	1516807890	1516807891	1	699932.datarmor0
P	P	84	115	9068	13102	484	84	34057	255	1516807891	1516807891	0	699933.datarmor0
P	P	56	115	11804	12357	411	56	22659	251	1516807891	1516807891	0	699934.datarmor0
P	P	28	115	5939	9284	126	28	9576	366	1516807891	1516807891	0	699935.datarmor0
M	N	280	115	25463	52077	898	280	1994438	1033	1516807891	1516808414	523	699936.datarmor0
M	N	112	115	10581	27842	10280	112	983054	519	1516807891	1516807891	0	699937.datarmor0
M	N	84	115	10895	25621	999	84	606162	474	1516807891	1516807891	0	699938.datarmor0
M	N	56	115	8139	14477	10274	56	435926	286	1516807891	1516807891	0	699939.datarmor0
M	N	28	115	5285	5785	9865	28	246174	225	1516807891	1516807891	0	699940.datarmor0
N	N	280	115	34621	154773	10103	280	1676960	2933	1516807891	1516808842	951	699941.datarmor0
N	N	112	115	16974	124870	370	112	643860	2289	1516807891	1516807891	0	699942.datarmor0
N	N	84	115	10611	144560	328	84	535760	2660	1516807891	1516807891	0	699943.datarmor0
N	N	56	115	21822	104015	9689	56	431430	1958	1516807891	1516807891	0	699944.datarmor0
N	N	28	115	6434	44342	9555	28	198703	1710	1516807891	1516807891	0	699945.datarmor0
N	P	280	115	19011	31132	935	280	168397	617	1516807891	1516809449	1558	699946.datarmor0
N	P	112	115	13499	26642	686	112	45303	632	1516807891	1516808149	258	699947.datarmor0
N	P	84	115	16484	26289	600	84	29049	507	1516807891	1516807891	0	699948.datarmor0
N	P	56	115	15872	25749	522	56	19727	517	1516807891	1516807892	1	699949.datarmor0
N	P	28	115	5576	16438	204	28	11758	632	1516807891	1516807892	1	699950.datarmor0
