QUERY	SUBJECT	CPUS(c)	MEM(Gb)	CPUPCT	CPUTIME	MEM(Mb)	NCPUS	VMEM(Mb)	WALLTIME(s)	QTIME(s)	STIME(s)	DELTA(s)	JOBID
P	P	56	32	1994	627	1664	56	4557	36	1511872019	1511872021	2	529913.datarmor0
P	P	32	32	515	637	1367	32	2835	42	1510842282	1510852524	10242	484414.datarmor0
P	P	16	32	1354	637	876	16	1516	56	1510842282	1510843574	1292	484415.datarmor0
P	P	8	32	1076	637	947	8	1106	99	1510842282	1510843285	1003	484416.datarmor0
N	P	56	32	1587	895	3068	56	16418	46	1511872019	1511872057	38	529914.datarmor0
N	P	32	32	2651	895	2071	32	7656	53	1510842282	1510852570	10288	484417.datarmor0
N	P	16	32	2192	885	1464	16	6616	76	1510842282	1510843698	1416	484418.datarmor0
N	P	8	32	1614	885	1189	8	3898	128	1510842282	1510843383	1101	484419.datarmor0
P	PL	56	32	12572	102446	32305	56	29875	5205	1511872019	1511872104	85	529915.datarmor0
P	PL	32	32	22019	107229	31873	32	29128	6677	1510842282	1510852628	10346	484420.datarmor0
P	PL	16	32	6137	106079	7915	16	29320	9228	1510842282	1510844189	1907	484421.datarmor0
P	PL	8	32	4031	96521	6817	8	28326	15918	1510842282	1510844783	2501	484422.datarmor0
N	PL	56	32	11464	122002	32768	56	33851	5702	1511872019	1511877309	5290	529916.datarmor0
N	PL	32	32	30250	151538	24356	32	34045	9381	1510842282	1510852832	10550	484423.datarmor0
N	PL	16	32	10114	142802	9194	16	20695	14395	1510842282	1510853420	11138	484424.datarmor0
N	PL	8	32	7394	178135	23823	8	31148	27306	1510842282	1510845767	3485	484425.datarmor0
